Title,Content,Category,Type,Link
Wood as an Engineering Material - All Chapters,,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JUzJZdkxFOHduRVU
Wood as an Engineering Material - Chapter 01,Wood As a Sustainable Building Material,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JbkJXQzMybkdvQlk
Wood as an Engineering Material - Chapter 02,Characteristics and Availability of Commercially Important Woods,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JVlJDWjRNMjA0X1E
Wood as an Engineering Material - Chapter 03,Structure and Function of Wood,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JX0V6NV9jcnJLV1E
Wood as an Engineering Material - Chapter 04,Moisture Relations and Physical Properties of Wood,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JT0Y2ZElnenYxdzQ
Wood as an Engineering Material - Chapter 05,Mechanical Properties of Wood,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JMFZFSlJEVHJQaTA
Wood as an Engineering Material - Chapter 06,"Commercial Lumber, Round Timbers, and Ties",Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JcnFWQjZoNi1mSE0
Wood as an Engineering Material - Chapter 07,"Stress Grades and Design Properties for Lumber, Round Timber, and Ties",Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JVEwzVC1NcHJsV2c
Wood as an Engineering Material - Chapter 08,Fastenings,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JNUtOWk1SZXZnUTA
Wood as an Engineering Material - Chapter 09,Structural Analysis Equations,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JUmFXMk1HYzRxTjQ
Wood as an Engineering Material - Chapter 10,Adhesives with Wood Materials Bond Formation and Performance,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JUmFXMk1HYzRxTjQ
Wood as an Engineering Material - Chapter 11,"Wood-Based Composite Materials Panel Products, Flued-Laminated Timber, Structural Composite Lumber, and Wood-Nonwood Composite Materials",Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JQlNaQ3VHWlg4dW8
Wood as an Engineering Material - Chapter 12,Mechanical Properties of Wood-Based Composite Materials,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JOXZCbW5xSzJGM2M
Wood as an Engineering Material - Chapter 13,Drying and Control of Moisture Content and Dimensional Changes,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JUlZhb3N6OHZsZkE
Wood as an Engineering Material - Chapter 14,Biodeterioration of Wood,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JX2Q1Z2xaYzd3ZWc
Wood as an Engineering Material - Chapter 15,Wood Preservation,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JQ0Z5Tm9lSFNOQ2s
Wood as an Engineering Material - Chapter 16,Finishing of Wood,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JRUFmbkFpa2NMR2c
Wood as an Engineering Material - Chapter 17,Use of Wood in Buildings and Bridges,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JVE8tdjdKOU00Zjg
Wood as an Engineering Material - Chapter 18,Fire Safety of Wood Construction,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JVXEwaTlPSnBLbFE
Wood as an Engineering Material - Chapter 19,Specialty Treatments,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JQ3FnVDU4MHpLZkU
Wood as an Engineering Material - Chapter 20,Heat Sterilization of Wood,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JeFNVSlFfdlR6d3c
Wood as an Engineering Material - Glossary,Glossary,Wood,Reference,https://drive.google.com/file/d/0BzwsVf_VMR5JV3k4R1N4ejdGc3M
